고객번호,구분,부도여부,성별,연령대,신용한도사용률_원래,신용한도사용률_전처리,나이_원래,나이_전처리,30-59일연체_원래,30-59일연체_전처리,부채비율_원래,부채비율_전처리,월소득_원래,월소득_전처리,개설신용거래수_원래,개설신용거래수_전처리,90일이상연체_원래,90일이상연체_전처리,부동산대출수_원래,부동산대출수_전처리,60-89일연체_원래,60-89일연체_전처리,부양가족수_원래,부양가족수_전처리,신용이력개월_원래,신용이력개월_전처리,통신비납부율_원래,통신비납부율_전처리,공과금납부율_원래,공과금납부율_전처리,소비일관성_원래,소비일관성_전처리,정기결제건수_원래,정기결제건수_전처리,앱로그인빈도_원래,앱로그인빈도_전처리,월소득_빈칸표시,부양가족수_빈칸표시,30-59일연체_빈칸표시,90일이상연체_빈칸표시,60-89일연체_빈칸표시
110307,일반,정상,female,55+,0.038,-0.803,65,0.862,0.0,-0.297,2113.0,1.981,기록 없음,-0.195,15,1.269,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,141,-0.147,1.0,1.541,0.908,0.978,36.738,-0.16,9,-0.141,17,0.136,1,0,0,0,0
143557,일반,정상,female,35-54,0.116,-0.58,35,-1.171,0.0,-0.297,0.431,-0.349,3100.0,-0.779,9,0.104,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,93,-0.43,0.564,-2.308,0.366,-2.834,17.841,-1.789,0,-2.744,9,-1.346,0,0,0,0,0
53556,일반,정상,male,55+,0.021,-0.849,79,1.81,0.0,-0.297,0.12,-0.349,5100.0,-0.267,8,-0.091,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,341,1.032,0.921,0.841,0.826,0.398,39.207,0.052,11,0.437,19,0.507,0,0,0,0,0
49601,일반,정상,male,55+,0.26,-0.173,68,1.065,0.0,-0.297,0.187,-0.349,4000.0,-0.549,17,1.657,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,192,0.153,0.941,1.025,0.847,0.55,33.885,-0.406,11,0.437,14,-0.42,0,0,0,0,0
46607,일반,정상,male,55+,0.024,-0.841,60,0.523,0.0,-0.297,0.415,-0.349,6506.0,0.093,26,3.405,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,49,-0.689,0.912,0.769,0.876,0.749,49.037,0.899,9,-0.141,18,0.321,0,0,0,0,0
11587,일반,정상,male,55+,0.003,-0.9,65,0.862,0.0,-0.297,0.175,-0.349,8500.0,0.603,5,-0.673,0.0,-0.15,1,-0.017,0.0,-0.163,1.0,0.237,259,0.548,0.826,0.011,0.75,-0.133,31.887,-0.578,11,0.437,17,0.136,0,0,0,0,0
147279,일반,정상,female,35-54,0.017,-0.861,44,-0.561,0.0,-0.297,0.254,-0.349,6400.0,0.065,9,0.104,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,152,-0.082,0.897,0.633,0.878,0.761,40.347,0.151,9,-0.141,12,-0.791,0,0,0,0,0
12732,일반,정상,female,55+,0.031,-0.82,58,0.388,0.0,-0.297,12.0,-0.336,기록 없음,-0.195,1,-1.45,0.0,-0.15,0,-0.903,0.0,-0.163,기록 없음,-0.667,419,1.492,0.896,0.625,0.842,0.509,47.102,0.733,11,0.437,14,-0.42,1,1,0,0,0
14340,일반,정상,female,55+,0.24,-0.228,56,0.252,0.0,-0.297,3680.0,3.71,기록 없음,-0.195,18,1.851,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,418,1.486,0.843,0.159,0.732,-0.263,29.382,-0.794,6,-1.009,15,-0.235,1,0,0,0,0
3555,일반,정상,female,55+,0.176,-0.41,63,0.726,0.0,-0.297,0.243,-0.349,5500.0,-0.165,11,0.492,0.0,-0.15,1,-0.017,0.0,-0.163,1.0,0.237,196,0.177,0.819,-0.054,0.828,0.413,41.74,0.271,7,-0.719,15,-0.235,0,0,0,0,0
26586,일반,정상,male,55+,0.61,0.822,58,0.388,1.0,1.317,1.08,-0.348,4532.0,-0.413,13,0.88,0.0,-0.15,1,-0.017,0.0,-0.163,1.0,0.237,324,0.932,0.967,1.247,0.993,1.571,39.146,0.047,11,0.437,21,0.877,0,0,0,0,0
3693,일반,정상,female,55+,0.073,-0.703,69,1.133,0.0,-0.297,0.066,-0.349,6000.0,-0.037,4,-0.867,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,525,2.117,0.873,0.421,0.799,0.211,31.702,-0.594,13,1.015,18,0.321,0,0,0,0,0
